Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Måned;Trafikkmengde;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2013-01-01T00:00+01:00;2013-02-01T00:00+01:00;2013;1;7418;-;-;-;-;-;-;-;-;1;7111;307;92;150;55;10;-;-
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2013-01-01T00:00+01:00;2013-02-01T00:00+01:00;2013;1;7428;-;-;-;-;-;-;-;-;2;7108;320;97;156;57;10;-;-
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2013-01-01T00:00+01:00;2013-02-01T00:00+01:00;2013;1;7418;-;-;-;-;-;-;-;-;Totalt i retning Kvaløya;7111;307;92;150;55;10;-;-
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2013-01-01T00:00+01:00;2013-02-01T00:00+01:00;2013;1;7428;-;-;-;-;-;-;-;-;Totalt i retning Tromsø;7108;320;97;156;57;10;-;-
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2013-01-01T00:00+01:00;2013-02-01T00:00+01:00;2013;1;14846;-;-;-;-;-;-;-;-;Totalt;14219;627;189;306;112;20;-;-
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2013-02-01T00:00+01:00;2013-03-01T00:00+01:00;2013;2;7380;-;-;-;-;-;-;-;-;1;7110;270;71;124;68;7;-;-
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2013-02-01T00:00+01:00;2013-03-01T00:00+01:00;2013;2;7437;-;-;-;-;-;-;-;-;2;7114;323;97;147;68;11;-;-
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2013-02-01T00:00+01:00;2013-03-01T00:00+01:00;2013;2;7380;-;-;-;-;-;-;-;-;Totalt i retning Kvaløya;7110;270;71;124;68;7;-;-
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2013-02-01T00:00+01:00;2013-03-01T00:00+01:00;2013;2;7437;-;-;-;-;-;-;-;-;Totalt i retning Tromsø;7114;323;97;147;68;11;-;-
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2013-02-01T00:00+01:00;2013-03-01T00:00+01:00;2013;2;14817;-;-;-;-;-;-;-;-;Totalt;14224;593;168;271;136;18;-;-
