Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Sesong;Trafikkmengde;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
05899V1109722;Strandvegen;KV40500 S1D1 m156;2021-09-01T00:00+02:00;2021-12-01T00:00+01:00;2021;Høst;5529;5303;5755;85,7;91;78;1;9;99,8;1;5196;324;105;93;116;10;10;0
05899V1109722;Strandvegen;KV40500 S1D1 m156;2021-09-01T00:00+02:00;2021-12-01T00:00+01:00;2021;Høst;3140;2979;3301;85,7;91;78;1;52;98,3;2;2514;574;351;153;43;27;25;2
05899V1109722;Strandvegen;KV40500 S1D1 m156;2021-09-01T00:00+02:00;2021-12-01T00:00+01:00;2021;Høst;2416;2353;2479;85,7;91;78;1;101;95,8;4;1998;317;180;49;37;50;49;1
05899V1109722;Strandvegen;KV40500 S1D1 m156;2021-09-01T00:00+02:00;2021-12-01T00:00+01:00;2021;Høst;5549;5342;5756;85,7;91;78;1;151;97,3;Totalt i retning Muse`gata;4508;890;530;202;80;77;74;3
05899V1109722;Strandvegen;KV40500 S1D1 m156;2021-09-01T00:00+02:00;2021-12-01T00:00+01:00;2021;Høst;5536;5309;5763;85,7;91;78;1;11;99,8;Totalt i retning Nyløkken/Telegrafbukta;5200;325;105;93;116;10;10;0
05899V1109722;Strandvegen;KV40500 S1D1 m156;2021-09-01T00:00+02:00;2021-12-01T00:00+01:00;2021;Høst;11084;10653;11515;85,7;91;78;1;161;98,5;Totalt;9708;1215;636;295;197;87;84;3
05899V1109722;Strandvegen;KV40500 S1D1 m156;2021-12-01T00:00+01:00;2022-03-01T00:00+01:00;2022;Vinter;5028;4786;5270;100;90;90;0;3;99,9;1;4729;296;94;85;109;8;8;0
05899V1109722;Strandvegen;KV40500 S1D1 m156;2021-12-01T00:00+01:00;2022-03-01T00:00+01:00;2022;Vinter;2929;2776;3082;100;90;90;0;68;97,7;2;2392;470;276;137;39;18;17;1
05899V1109722;Strandvegen;KV40500 S1D1 m156;2021-12-01T00:00+01:00;2022-03-01T00:00+01:00;2022;Vinter;2549;2448;2650;100;90;90;0;192;92,5;4;2079;278;149;44;35;50;49;1
05899V1109722;Strandvegen;KV40500 S1D1 m156;2021-12-01T00:00+01:00;2022-03-01T00:00+01:00;2022;Vinter;5467;5245;5689;100;90;90;0;258;95,3;Totalt i retning Muse`gata;4464;746;424;180;74;68;65;3
05899V1109722;Strandvegen;KV40500 S1D1 m156;2021-12-01T00:00+01:00;2022-03-01T00:00+01:00;2022;Vinter;5038;4796;5280;100;90;90;0;4;99,9;Totalt i retning Nyløkken/Telegrafbukta;4736;298;95;86;109;9;9;0
05899V1109722;Strandvegen;KV40500 S1D1 m156;2021-12-01T00:00+01:00;2022-03-01T00:00+01:00;2022;Vinter;10506;10052;10960;100;90;90;0;263;97,5;Totalt;9199;1044;519;266;183;77;74;3
05899V1109722;Strandvegen;KV40500 S1D1 m156;2022-03-01T00:00+01:00;2022-06-01T00:00+02:00;2022;Vår;5129;4889;5369;100;92;92;0;12;99,8;1;4814;303;95;85;114;9;9;0
05899V1109722;Strandvegen;KV40500 S1D1 m156;2022-03-01T00:00+01:00;2022-06-01T00:00+02:00;2022;Vår;2970;2813;3127;100;92;92;0;60;98;2;2404;507;298;137;47;25;23;2
05899V1109722;Strandvegen;KV40500 S1D1 m156;2022-03-01T00:00+01:00;2022-06-01T00:00+02:00;2022;Vår;2450;2357;2543;100;92;92;0;84;96,6;4;2021;346;193;46;49;57;56;1
