Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T00:00+01:00;2022-03-08T01:00+01:00;08.03.2022;00:00;01:00;1;55;100;1;1;0;0;100;52;3;1;0;2;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T00:00+01:00;2022-03-08T01:00+01:00;08.03.2022;00:00;01:00;2;37;100;1;1;0;0;100;29;8;3;1;4;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T00:00+01:00;2022-03-08T01:00+01:00;08.03.2022;00:00;01:00;Totalt i retning Kvaløya;55;100;1;1;0;0;100;52;3;1;0;2;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T00:00+01:00;2022-03-08T01:00+01:00;08.03.2022;00:00;01:00;Totalt i retning Tromsø;37;100;1;1;0;0;100;29;8;3;1;4;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T00:00+01:00;2022-03-08T01:00+01:00;08.03.2022;00:00;01:00;Totalt;92;100;1;1;0;0;100;81;11;4;1;6;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T01:00+01:00;2022-03-08T02:00+01:00;08.03.2022;01:00;02:00;1;23;100;1;1;0;0;100;21;2;1;1;0;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T01:00+01:00;2022-03-08T02:00+01:00;08.03.2022;01:00;02:00;2;29;100;1;1;0;0;100;27;2;2;0;0;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T01:00+01:00;2022-03-08T02:00+01:00;08.03.2022;01:00;02:00;Totalt i retning Kvaløya;23;100;1;1;0;0;100;21;2;1;1;0;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T01:00+01:00;2022-03-08T02:00+01:00;08.03.2022;01:00;02:00;Totalt i retning Tromsø;29;100;1;1;0;0;100;27;2;2;0;0;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T01:00+01:00;2022-03-08T02:00+01:00;08.03.2022;01:00;02:00;Totalt;52;100;1;1;0;0;100;48;4;3;1;0;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T02:00+01:00;2022-03-08T03:00+01:00;08.03.2022;02:00;03:00;1;8;100;1;1;0;0;100;7;1;0;1;0;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T02:00+01:00;2022-03-08T03:00+01:00;08.03.2022;02:00;03:00;2;9;100;1;1;0;0;100;9;0;0;0;0;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T02:00+01:00;2022-03-08T03:00+01:00;08.03.2022;02:00;03:00;Totalt i retning Kvaløya;8;100;1;1;0;0;100;7;1;0;1;0;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T02:00+01:00;2022-03-08T03:00+01:00;08.03.2022;02:00;03:00;Totalt i retning Tromsø;9;100;1;1;0;0;100;9;0;0;0;0;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T02:00+01:00;2022-03-08T03:00+01:00;08.03.2022;02:00;03:00;Totalt;17;100;1;1;0;0;100;16;1;0;1;0;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T03:00+01:00;2022-03-08T04:00+01:00;08.03.2022;03:00;04:00;1;10;100;1;1;0;0;100;10;0;0;0;0;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T03:00+01:00;2022-03-08T04:00+01:00;08.03.2022;03:00;04:00;2;9;100;1;1;0;0;100;9;0;0;0;0;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T03:00+01:00;2022-03-08T04:00+01:00;08.03.2022;03:00;04:00;Totalt i retning Kvaløya;10;100;1;1;0;0;100;10;0;0;0;0;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T03:00+01:00;2022-03-08T04:00+01:00;08.03.2022;03:00;04:00;Totalt i retning Tromsø;9;100;1;1;0;0;100;9;0;0;0;0;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T03:00+01:00;2022-03-08T04:00+01:00;08.03.2022;03:00;04:00;Totalt;19;100;1;1;0;0;100;19;0;0;0;0;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T04:00+01:00;2022-03-08T05:00+01:00;08.03.2022;04:00;05:00;1;12;100;1;1;0;1;91,67;10;1;0;1;0;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T04:00+01:00;2022-03-08T05:00+01:00;08.03.2022;04:00;05:00;2;27;100;1;1;0;0;100;27;0;0;0;0;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T04:00+01:00;2022-03-08T05:00+01:00;08.03.2022;04:00;05:00;Totalt i retning Kvaløya;12;100;1;1;0;1;91,67;10;1;0;1;0;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T04:00+01:00;2022-03-08T05:00+01:00;08.03.2022;04:00;05:00;Totalt i retning Tromsø;27;100;1;1;0;0;100;27;0;0;0;0;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T04:00+01:00;2022-03-08T05:00+01:00;08.03.2022;04:00;05:00;Totalt;39;100;1;1;0;1;97,44;37;1;0;1;0;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T05:00+01:00;2022-03-08T06:00+01:00;08.03.2022;05:00;06:00;1;25;100;1;1;0;0;100;18;7;1;1;5;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T05:00+01:00;2022-03-08T06:00+01:00;08.03.2022;05:00;06:00;2;66;100;1;1;0;0;100;62;4;0;3;1;0;0;0
